label,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
A,0.9307268261909485,0.7772682309150696,-4.5468493681255495e-07,0.8617180585861206,0.8155272006988525,-0.13534428179264069,0.7767072319984436,0.8211007118225098,-0.1644136607646942,0.7105664610862732,0.8193914294242859,-0.15311996638774872,0.6671066880226135,0.79860520362854,-0.12733536958694458,0.73904949426651,0.6939009428024292,-0.14690150320529938,0.6243969202041626,0.6617226004600525,-0.18815530836582184,0.5492603778839111,0.6574016809463501,-0.21318277716636658,0.48850128054618835,0.6501045227050781,-0.2248915582895279,0.7517848014831543,0.6990121006965637,-0.06993991881608963,0.6431122422218323,0.7423093318939209,-0.09002946317195892,0.6885346174240112,0.7790406346321106,-0.08412913978099823,0.7386820912361145,0.7761696577072144,-0.07747119665145874,0.7437543869018555,0.7041674256324768,-0.004672620911151171,0.6629478931427002,0.7534196376800537,-0.027755223214626312,0.7186722159385681,0.7831917405128479,-0.03309665620326996,0.7558985352516174,0.7672709226608276,-0.0336332693696022,0.7315666675567627,0.7071740031242371,0.04980951547622681,0.6861404776573181,0.7431333661079407,0.0219280943274498,0.7279607653617859,0.7651084065437317,0.006720009259879589,0.76111900806427,0.7638306021690369,0.0021436577662825584
B,0.8754088282585144,0.7587153911590576,-8.606078267803241e-07,0.780726432800293,0.737120509147644,-0.15592314302921295,0.6870882511138916,0.6825568675994873,-0.2340848296880722,0.5750885605812073,0.6246265172958374,-0.276954710483551,0.4957817494869232,0.5732539892196655,-0.31064173579216003,0.849845826625824,0.5250980854034424,-0.21783284842967987,0.6747060418128967,0.4902031421661377,-0.28751567006111145,0.5586645007133484,0.5166856646537781,-0.33816760778427124,0.5014457106590271,0.5604559183120728,-0.36593639850616455,0.8674100637435913,0.4941435754299164,-0.14884617924690247,0.7533797025680542,0.377189576625824,-0.2204868644475937,0.6295797228813171,0.3556709289550781,-0.26371297240257263,0.5361287593841553,0.3661746680736542,-0.2875644266605377,0.8566007018089294,0.48599666357040405,-0.08237610012292862,0.7794097065925598,0.36822155117988586,-0.12994949519634247,0.6831493973731995,0.3489615023136139,-0.15350808203220367,0.6195169687271118,0.3463892340660095,-0.16388770937919617,0.8234031796455383,0.5003595352172852,-0.025436632335186005,0.7755242586135864,0.41930872201919556,-0.0487733818590641,0.7132587432861328,0.3940926194190979,-0.05461672320961952,0.664073646068573,0.3850812315940857,-0.05551528558135033
C,0.6932328939437866,0.7701388001441956,-4.932691126668942e-07,0.5791547894477844,0.7655925154685974,-0.1525864601135254,0.47487321496009827,0.7146821022033691,-0.1894872784614563,0.3709314465522766,0.687204122543335,-0.1846584975719452,0.2815224230289459,0.6714923977851868,-0.16141586005687714,0.5940616130828857,0.5637035369873047,-0.13509975373744965,0.5242229700088501,0.4678229093551636,-0.1561502069234848,0.4398505687713623,0.4565562903881073,-0.15575145184993744,0.37781989574432373,0.45505714416503906,-0.14523307979106903,0.6137765645980835,0.575865626335144,-0.04437630623579025,0.46974119544029236,0.5631151795387268,-0.05229455977678299,0.4663170278072357,0.6279808282852173,-0.0399906150996685,0.5190293788909912,0.6471148133277893,-0.02585483342409134,0.610700786113739,0.5876585841178894,0.0343015231192112,0.4791622757911682,0.584562361240387,0.025023262947797775,0.4961099624633789,0.6410707235336304,0.015895996242761612,0.5484747886657715,0.645829439163208,0.012835115194320679,0.6005398035049438,0.5940673351287842,0.10129445791244507,0.5155426859855652,0.592556357383728,0.09134545922279358,0.5200486183166504,0.6322999596595764,0.08086413145065308,0.5481289625167847,0.6563735008239746,0.07969880849123001
D,0.2639150321483612,0.5750995874404907,4.1799137306952616e-07,0.2596474289894104,0.5676051378250122,-0.10442166775465012,0.2694363594055176,0.5403262972831726,-0.14512060582637787,0.30635425448417664,0.5152760744094849,-0.16480277478694916,0.34844332933425903,0.4949485957622528,-0.17577768862247467,0.2534506022930145,0.4531671404838562,-0.09915699809789658,0.2603122293949127,0.398784875869751,-0.14334580302238464,0.26363930106163025,0.3563724756240845,-0.1696627140045166,0.2639521360397339,0.3229670822620392,-0.18572035431861877,0.2869657576084137,0.45742282271385193,-0.058827389031648636,0.3374790549278259,0.4426635205745697,-0.10747194290161133,0.3479476571083069,0.4826851785182953,-0.11877042800188065,0.34262925386428833,0.5045769810676575,-0.11568432301282883,0.31921494007110596,0.4678300619125366,-0.02849254198372364,0.3692391514778137,0.46589431166648865,-0.07928713411092758,0.35314929485321045,0.5069440603256226,-0.07898198813199997,0.32972341775894165,0.5167895555496216,-0.06598536670207977,0.34155404567718506,0.47693362832069397,-0.00664064334705472,0.37782469391822815,0.483920693397522,-0.04591284692287445,0.3645508885383606,0.5134033560752869,-0.04997089132666588,0.3405676484107971,0.5217421054840088,-0.0438392348587513
E,0.022621124982833862,0.6307103633880615,-7.347417749770102e-07,-0.020137012004852295,0.5700604915618896,-0.049602165818214417,0.008232206106185913,0.47852760553359985,-0.075619637966156,0.08183114230632782,0.4338688850402832,-0.10193007439374924,0.1603606939315796,0.42946282029151917,-0.12531568109989166,0.1732100546360016,0.43601423501968384,-0.02618275210261345,0.26005446910858154,0.35763776302337646,-0.07353365421295166,0.3171493113040924,0.311726450920105,-0.10006524622440338,0.36072838306427,0.27647048234939575,-0.11880278587341309,0.22799313068389893,0.4797394275665283,-0.030497658997774124,0.22036170959472656,0.4310063421726227,-0.11905844509601593,0.12970396876335144,0.48233145475387573,-0.13803106546401978,0.06762717664241791,0.5277456045150757,-0.126389741897583,0.2613382935523987,0.5292708277702332,-0.04315559193491936,0.22428828477859497,0.4891364276409149,-0.13160772621631622,0.13172005116939545,0.538263738155365,-0.11706586927175522,0.07689620554447174,0.5772799253463745,-0.08165980875492096,0.28098803758621216,0.5852896571159363,-0.06065252423286438,0.2391931265592575,0.549975574016571,-0.12457027286291122,0.15739092230796814,0.5737226605415344,-0.11692660301923752,0.11223478615283966,0.5956063270568848,-0.09370095282793045
F,0.6796794533729553,0.6737323999404907,-4.49809448355154e-07,0.5439473390579224,0.6537028551101685,-0.03785467520356178,0.46238625049591064,0.5859746336936951,-0.06730741262435913,0.432880163192749,0.513606071472168,-0.06908191740512848,0.4337519407272339,0.4593820571899414,-0.06673477590084076,0.5165318846702576,0.5421998500823975,-0.22062227129936218,0.3985616862773895,0.4571770131587982,-0.27617985010147095,0.32837897539138794,0.41182345151901245,-0.30750155448913574,0.2765583395957947,0.3732253313064575,-0.32861948013305664,0.5865567922592163,0.5130698084831238,-0.18148894608020782,0.45654356479644775,0.41188353300094604,-0.21810176968574524,0.38267797231674194,0.36407145857810974,-0.21534788608551025,0.32599759101867676,0.3286590874195099,-0.2207072377204895,0.6388942003250122,0.4882245659828186,-0.1266307383775711,0.514082133769989,0.4445156753063202,-0.10095945000648499,0.48410096764564514,0.4726288318634033,-0.04031908139586449,0.4836863577365875,0.5000900626182556,-0.011195561848580837,0.6723107695579529,0.47725850343704224,-0.07693563401699066,0.5667028427124023,0.4618472158908844,-0.04247649386525154,0.5360233783721924,0.48539307713508606,-0.0003819015109911561,0.5344417095184326,0.5081622004508972,0.02511533536016941
G,0.42742377519607544,0.5124714374542236,-1.7558137699325016e-07,0.40818196535110474,0.44216251373291016,-0.04266767576336861,0.33269810676574707,0.3878169357776642,-0.05337033048272133,0.23569124937057495,0.3601555824279785,-0.06424979120492935,0.15945351123809814,0.3477829098701477,-0.06714247167110443,0.2335876226425171,0.39971816539764404,0.017999539151787758,0.16151860356330872,0.3902958035469055,-0.03482940420508385,0.21044360101222992,0.4073302745819092,-0.06722917407751083,0.255510538816452,0.4129287004470825,-0.08035094290971756,0.22733834385871887,0.4467885196208954,0.021845664829015732,0.14976045489311218,0.44433632493019104,-0.0427931547164917,0.2223365157842636,0.45409658551216125,-0.0690944641828537,0.2658112943172455,0.4540408253669739,-0.07128430157899857,0.23322132229804993,0.4955630898475647,0.014230684377253056,0.17026454210281372,0.5008563995361328,-0.05625970661640167,0.24771319329738617,0.501319408416748,-0.05700400844216347,0.29481399059295654,0.4954935908317566,-0.03821418434381485,0.2501576244831085,0.5414637327194214,0.003476169425994158,0.2155132293701172,0.5472257137298584,-0.04528442770242691,0.27235710620880127,0.5430505275726318,-0.04588787257671356,0.31167739629745483,0.5327259302139282,-0.03337956592440605
H,0.6861369609832764,0.6689193248748779,-3.1957452506503614e-07,0.5370434522628784,0.6870490312576294,0.0014099795371294022,0.39028501510620117,0.6700173616409302,-0.021101877093315125,0.2805151045322418,0.625135600566864,-0.04566023871302605,0.2073778510093689,0.5819061994552612,-0.07319749891757965,0.3853776752948761,0.536734402179718,-0.07912078499794006,0.2622758746147156,0.4025126099586487,-0.11294063925743103,0.2029058039188385,0.33054614067077637,-0.11353714019060135,0.1660785973072052,0.27689433097839355,-0.11142708361148834,0.4652864634990692,0.48490169644355774,-0.09879899770021439,0.303086519241333,0.33981841802597046,-0.1439940482378006,0.2217290997505188,0.26288995146751404,-0.15822122991085052,0.16992908716201782,0.20807239413261414,-0.1649901270866394,0.5479514002799988,0.453167200088501,-0.11357911676168442,0.38845309615135193,0.326160192489624,-0.15442395210266113,0.29870933294296265,0.25342345237731934,-0.17146658897399902,0.2321799248456955,0.20171934366226196,-0.1793350875377655,0.6349248886108398,0.43560221791267395,-0.12504374980926514,0.5216023921966553,0.34270432591438293,-0.1605379283428192,0.4494662880897522,0.29058417677879333,-0.17560812830924988,0.38590309023857117,0.24640153348445892,-0.18169757723808289
I,0.30967122316360474,0.7758309841156006,5.03085459513386e-07,0.29696711897850037,0.6922857165336609,-0.060454320162534714,0.30841174721717834,0.6091579794883728,-0.0840807855129242,0.31958162784576416,0.5287600755691528,-0.09673745185136795,0.31530487537384033,0.45804500579833984,-0.10773620009422302,0.3686964213848114,0.5431461334228516,-0.04607560485601425,0.41388893127441406,0.4489445090293884,-0.06064203381538391,0.44077810645103455,0.39085716009140015,-0.07614310085773468,0.46349647641181946,0.34103307127952576,-0.08734458684921265,0.3902338147163391,0.5649293661117554,-0.01824871078133583,0.4398155212402344,0.4715704023838043,-0.02808763086795807,0.4720534086227417,0.416015088558197,-0.041306160390377045,0.49790284037590027,0.36636507511138916,-0.05227760598063469,0.400850385427475,0.5944477915763855,0.004841949325054884,0.44033870100975037,0.5166377425193787,0.000787455472163856,0.4675227999687195,0.46645212173461914,-0.010344951413571835,0.4873247444629669,0.4227970838546753,-0.020058052614331245,0.4059160649776459,0.627444863319397,0.022273441776633263,0.4327458143234253,0.5739625692367554,0.022857440635561943,0.44835057854652405,0.5349805355072021,0.01819431409239769,0.46169668436050415,0.5013542175292969,0.012508032843470573
J,0.3829033374786377,0.7023576498031616,5.459240242089436e-07,0.29910218715667725,0.6324864029884338,-0.06736912578344345,0.25985100865364075,0.5475592613220215,-0.11308947950601578,0.24550485610961914,0.4786004424095154,-0.1552477478981018,0.23902881145477295,0.41987302899360657,-0.19790461659431458,0.4436178505420685,0.4698554575443268,-0.06919591873884201,0.5050809383392334,0.38028663396835327,-0.11708107590675354,0.5489601492881775,0.3313314914703369,-0.15836258232593536,0.5937880277633667,0.2903393805027008,-0.19007408618927002,0.5056837201118469,0.49019336700439453,-0.07030674815177917,0.575583815574646,0.3916844129562378,-0.1122250109910965,0.6251586675643921,0.33176887035369873,-0.15156805515289307,0.6757603883743286,0.2791665196418762,-0.18260781466960907,0.5514805316925049,0.5280401110649109,-0.07978999614715576,0.6219470500946045,0.43896979093551636,-0.11630645394325256,0.6650386452674866,0.38250383734703064,-0.15010881423950195,0.705372154712677,0.33268100023269653,-0.1760173738002777,0.590005099773407,0.5823225975036621,-0.09632211178541183,0.6450304388999939,0.5137907862663269,-0.12944990396499634,0.6721661686897278,0.4667683243751526,-0.15252387523651123,0.7003269195556641,0.4223044514656067,-0.17014577984809875
